country,sex,audio_length,max_freq,db,continent
iran,male,27.79548753,22050.0,31.48773308,asia
iraq,famale,38.75906526,22050.0,31.93536936,asia
iraq,male,33.82002268,21201.92308,32.31064704,asia
ireland,famale,21.47939531,22050.0,30.90398385,europe
ireland,male,22.53960317,22050.0,30.83073015,europe
isle of man,famale,20.83011338,22050.0,30.3552107,europe
israel,famale,28.5835873,22050.0,31.612902399999996,asia
israel,male,28.7911678,20671.875,30.81878399,asia
israel (occupied territory),male,32.54290249,22050.0,32.74188778,asia
italy,famale,25.4060087,21377.77778,30.77396822,europe
italy,male,26.63326925,22050.0,31.42305778,europe
ivory coast,famale,37.37510204,22050.0,31.69023416,africa
ivory coast,male,35.30479592,22050.0,32.97878952,africa
jamaica,famale,34.23645503,22050.0,30.72696326,north america
jamaica,male,21.514375,23025.0,30.81407928,north america
japan,famale,31.288011199999996,21401.47059,31.92160926,asia
japan,male,26.57201562,22050.0,31.80809327,asia
jordan,famale,39.90263039,22050.0,32.84501462,asia
jordan,male,37.18431973,22050.0,29.91616361,asia
kazakhstan,famale,25.7431746,22050.0,31.35850408,asia
kazakhstan,male,21.86417234,22050.0,27.44294883,asia
kenya,famale,27.53026077,22050.0,31.94595926,africa
kenya,male,32.97450923,22050.0,31.30097704,africa
kosovo,famale,25.75661376,22050.0,32.3457184,europe
kosovo,male,29.90403628,22050.0,31.17628676,europe
kuwait,famale,33.97666667,22050.0,32.0942743,asia
kuwait,male,27.79277778,22050.0,33.08298717,asia
kyrgyzstan,famale,30.57935374,22050.0,30.41083531,asia
laos,famale,33.57501134,22050.0,32.45855831,asia
laos,male,36.24901738,22050.0,32.57029365,asia
latvia,famale,26.39080877,22050.0,30.98697018,europe
latvia,male,22.04911565,22050.0,30.48276393,europe
lebanon,famale,28.32111111,22050.0,32.29220874,asia
lebanon,male,30.03749055,22050.0,30.78360174,asia
lesotho,famale,31.3846712,22050.0,34.08078337,africa
liberia,famale,34.42081633,22050.0,30.59457904,africa
liberia,male,29.53344671,22050.0,33.63415794,africa
libya,famale,40.39001134,22050.0,33.57684743,africa
liechtenstein,famale,24.59977324,22050.0,30.453019899999997,europe
lithuania,famale,25.70802073,22050.0,31.06613999,europe
luxembourg,famale,23.873174600000002,22050.0,30.01199763,europe
macedonia,famale,25.03071629,22050.0,30.00267298,europe
macedonia,male,26.17296548,22050.0,31.30881087,europe
madagascar,male,49.90145125,22050.0,34.16965174,africa
malawi,male,36.31845805,22050.0,31.95419631,africa
malaysia,famale,23.52767952,22050.0,32.38068773,asia
malaysia,male,24.08294785,22050.0,30.31507399,asia
mali,famale,32.44901738,22050.0,31.47068363,africa
mali,male,34.35791383,22050.0,30.91330412,africa
malta,famale,31.73641723,22050.0,31.94488634,europe
martinique,male,21.46049887,22050.0,30.47397163,north america
mauritius,male,28.13159864,22050.0,32.1496689,africa
mexico,famale,32.44064464,20475.0,31.07396002,north america
mexico,male,26.32464097,22050.0,31.78278545,north america
moldova,famale,33.29568254,22050.0,31.19336136,europe
moldova,male,20.77062358,22050.0,31.29742732,europe
mongolia,famale,38.96867725,18375.0,30.159466899999998,asia
mongolia,male,32.76455026,22050.0,32.53620202,asia
montenegro,famale,30.40494331,22050.0,31.18453372,europe
morocco,famale,31.00408163,22050.0,32.28993888,africa
morocco,male,29.63668084,22050.0,31.5411795,africa
myanmar,famale,30.2796712,22050.0,31.30538773,asia
myanmar,male,24.99901361,22050.0,31.78229988,asia
namibia,male,32.86460317,22050.0,29.93975333,africa
nepal,famale,38.92634165,22050.0,31.85570983,asia
nepal,male,28.33868481,22050.0,31.6511544,asia
netherlands,famale,25.50579851,22050.0,30.95363685,europe
netherlands,male,26.70204837,21131.25,31.51559512,europe
new zealand,famale,25.2318455,20537.5,32.08837585,oceania
new zealand,male,23.04132979,22537.5,32.18235995,oceania
nicaragua,famale,36.35509751,22050.0,32.62367845,south america
nicaragua,male,37.04890967,22050.0,32.31594121,south america
niger,famale,29.58548753,22050.0,32.38218202,africa
nigeria,famale,34.73309807,22050.0,32.85166172,africa
nigeria,male,31.27765818,22189.28571,32.62851908,africa
northern mariana islands,famale,31.34693878,22050.0,31.74347846,oceania
northern mariana islands,male,20.62854167,24000.0,30.79735602,oceania
norway,famale,22.72715797,22050.0,31.34195976,europe
norway,male,21.96129252,22050.0,32.255452500000004,europe
oman,famale,29.87258503,22050.0,32.60323887,asia
pakistan,famale,26.58277292,22050.0,31.88297681,asia
pakistan,male,27.3960609,21262.5,31.26020155,asia
panama,famale,32.11702192,22050.0,31.38097244,north america
