country,sex,audio_length,max_freq,db
myanmar,famale,30.27967120181406,22050.0,31.305387731347764
myanmar,male,24.99901360544218,22050.0,31.78229987843865
namibia,male,32.86460317460317,22050.0,29.939753325147056
nepal,famale,38.92634164777022,22050.0,31.855709827766603
nepal,male,28.338684807256232,22050.0,31.651154402644348
netherlands,famale,25.505798509880144,22050.0,30.953636849609783
netherlands,male,26.702048374905516,21131.25,31.51559511680381
new zealand,famale,25.23184550382653,20537.5,32.088375851085104
new zealand,male,23.041329790249435,22537.5,32.182359946587134
nicaragua,famale,36.35509750566894,22050.0,32.62367844732049
nicaragua,male,37.04890967498111,22050.0,32.31594121486065
niger,famale,29.585487528344675,22050.0,32.38218202300029
nigeria,famale,34.733098072562356,22050.0,32.851661717904335
nigeria,male,31.2776581835115,22189.285714285714,32.62851908081689
northern mariana islands,famale,31.3469387755102,22050.0,31.743478457337808
northern mariana islands,male,20.628541666666667,24000.0,30.797356018257407
norway,famale,22.727157974300827,22050.0,31.341959763828
norway,male,21.9612925170068,22050.0,32.25545250075941
oman,famale,29.87258503401361,22050.0,32.60323887271132
pakistan,famale,26.582772918691287,22050.0,31.88297681464096
pakistan,male,27.396060900550697,21262.5,31.260201551780078
panama,famale,32.11702191987906,22050.0,31.380972435992998
panama,male,22.79545833333333,24000.0,29.96293629257333
papua new guinea,male,25.12206349206349,22050.0,29.665689132251693
peru,famale,32.27353237591333,22050.0,30.67806343341179
peru,male,25.304429209183674,18537.5,31.39842341010936
philippines,famale,29.018988245819163,22171.875,31.57435121461888
philippines,male,23.110868156786523,22050.0,30.75240456111847
poland,famale,26.734709467120172,22050.0,31.395397754176187
poland,male,24.336384007306624,20879.166666666668,31.62008969538901
portugal,famale,27.052687074829933,22050.0,30.604395861458976
portugal,male,27.59609977324263,22050.0,33.35412053815932
puerto rico,famale,30.446479591836734,22050.0,32.176620496544494
puerto rico,male,22.781712018140592,16537.5,28.453638444520852
qatar,male,40.53477702191987,22050.0,31.800901858341607
republic of georgia,famale,31.856507936507935,22050.0,30.842183496787015
republic of georgia,male,35.600030234315945,22050.0,30.158443416567504
romania,famale,25.899126984126987,22050.0,31.2123281431615
romania,male,29.68217403628118,22050.0,31.785019802633805
romanian,male,25.399886621315193,22050.0,30.782257874732927
russia,famale,28.40948779289494,22180.0,30.732603163148386
russia,male,27.54095763357427,22171.875,31.21158741264174
rwanda,male,23.53857142857143,22050.0,33.170776977395434
saudi arabia,famale,31.78480931766646,22050.0,32.14632544413641
saudi arabia,male,36.1599857181509,21637.5,32.058962206959784
senegal,famale,34.768816326530604,22050.0,31.934023501361896
senegal,male,36.18234590806019,22050.0,32.93470222423152
serbia,famale,23.46839002267574,22050.0,32.26481589913401
serbia,male,25.12877047115142,21041.666666666668,30.611460089533594
sicily,male,46.68027210884354,22050.0,32.46332341908215
sierra leone,famale,33.49434013605442,22050.0,30.59376223576018
sierra leone,male,31.059469387755104,22050.0,31.351047706238596
singapore,famale,19.356054421768707,22050.0,30.89889499476204
singapore,male,24.219143990929705,22050.0,32.27629384596289
slovak republic,famale,26.174119425548,22050.0,31.789390905803923
slovakia,famale,25.836564625850343,22050.0,27.78525328472042
slovenia,famale,21.07873015873016,22050.0,32.60505746518785
slovenia,male,20.89873015873016,22050.0,31.939288992478925
solomon islands,famale,27.35433333333333,24000.0,31.604068226322852
solomon islands,male,31.710272108843537,22050.0,33.99806284084949
somalia,famale,38.50602418745276,22050.0,32.472927888089345
somalia,male,31.118979591836734,22050.0,31.39638672197387
south africa,famale,22.163639455782313,22050.0,31.099995600847805
south africa,male,22.778924522189833,22050.0,31.326560749041725
south korea,famale,31.20093780369289,22050.0,31.191016936618173
south korea,male,30.57643747535246,21655.434782608696,31.692084120840402
spain,famale,29.83640427599611,22050.0,31.220732708860904
spain,male,29.79904006046863,22050.0,32.01558355143346
sri lanka,famale,42.50616780045352,22050.0,30.86490160097404
sri lanka,male,35.237528344671205,22050.0,34.3243035892458
sudan,famale,28.74108843537415,22050.0,33.05211632380743
sudan,male,35.38956462585034,22050.0,32.885225886696205
sweden,famale,26.27878684807256,22050.0,32.084242144222195
sweden,male,23.496171923314783,22050.0,31.748911225829215
switzerland,famale,25.706582931783828,20033.333333333332,31.442188099808863
switzerland,male,25.356167800453516,22050.0,31.648605072659365
syria,male,30.23138321995465,22050.0,32.11280484018079
taiwan,famale,36.250907624716554,22310.0,31.88915572701735
taiwan,male,32.27498866213152,19845.0,31.442680621655228
tajikistan,famale,27.022029478458048,22050.0,30.84268954403572
tajikistan,male,35.65772108843537,22050.0,32.1965448407919
tanzania,famale,28.969584278155708,22050.0,31.922836209889823
tanzania,male,27.30312925170068,14700.0,29.104870380182877
thailand,famale,31.343122772918687,22050.0,32.349016583495406
thailand,male,28.18452097505669,22050.0,31.34732839961933
the bahamas,famale,29.98861678004535,22050.0,30.909045809700704
tibet,famale,44.102936507936505,22050.0,32.52750229025057
timor-leste,male,30.672176870748302,22050.0,27.720137734410724
togo,male,40.960589569160994,22050.0,32.96765033276587
trinidad,famale,23.780362811791388,22050.0,33.465867734662645
tunisia,famale,32.516825396825396,22050.0,30.34812180074581
tunisia,male,42.003843537414966,22050.0,31.699073356230485
turkey,famale,25.469023799400713,21401.785714285714,31.207768417302237
turkey,male,27.154380102040818,21617.85714285714,30.81722310429241
turkmenistan,male,27.6085260770975,22050.0,31.653722592675162
uganda,famale,37.44891156462585,22050.0,32.596854336328434
uganda,male,26.64748299319728,22050.0,32.10169953871421
uk,famale,23.401382275132274,21590.625,31.844087626473442
uk,male,23.05119601328904,21793.60465116279,31.338491036806737
ukraine,famale,27.648138528138528,22050.0,31.74185735652144
ukraine,male,27.277978080120935,22050.0,31.289772440769116
united arab emirates,famale,26.694045999352117,22050.0,31.067491325152428
united arab emirates,male,54.19439909297053,22050.0,31.16775364260865
uruguay,famale,25.07469387755102,22050.0,31.995582322457928
uruguay,male,22.753847316704455,22050.0,32.472521139253224
us virgin islands,male,32.207619047619055,22050.0,29.729295021240638
usa,famale,23.202525453661615,21663.730569948188,31.40477164731631
usa,male,22.857317791005308,22010.984848484848,31.27330807058138
uzbekistan,famale,28.96415121882086,22700.0,32.88812277613307
uzbekistan,male,23.17793650793651,22050.0,33.35095529082999
venezuela,famale,20.955479969765687,22050.0,32.485710551501406
venezuela,male,28.00333616780045,22050.0,30.831740104649622
vietnam,famale,32.92156714537667,22050.0,31.60793584270314
vietnam,male,33.11954822954823,21201.923076923078,32.238068574313914
virginia,male,29.975192743764172,22050.0,32.343476420330475
yemen,male,26.302857142857146,22050.0,29.9075288745126
yugoslavia,male,38.64641723356009,22050.0,33.199719961093464
zambia,famale,19.32984126984127,22050.0,30.268082607771984
zimbabwe,famale,25.247671957671958,22050.0,32.829963203289026
